Rep,RepA,RepB,FIB,RepE,trfA,TrfA1,TrfA2,Rep(AC)
Ori,ori-1,ori-2,oriV,oriS,,,,
Ssb,ssb,traM,TraM,,,,,
ParA,parA,SopA,incC,IncC1,IncC2,ParR,,
ParB,cbp,ParB,SopB,KorB,ParM,,,
ParC,parS,cen,sopC,,,,,
Rlx,rlx,TraI,Nic,TrwC,Nes,,,
Nic,oriT,nic (oriT),nic(oriT),,,,,
Dtr,Dtr,TraY,TraM,TraH,TraJ,TrwA,,
Pri,pri,TraC,TraC3,TraC4,,,,
Cpl,cpl,TraD,TraG,VirD4,TrwB,,,
Sfx,TraT,,,,,,,
Eex,TraS,TrbK,Eex,,,,,
Slt,pNDM-1_Dok01_N0219,virB1,TrbN,geneX,,,,
TivB2,virB2,TraA,TivB2,TrbC,,,,
TivB3,TraL,TrbD,VirB3,,,,,
TivB4,virB4,TraC,TrbE,TrwK,TraE,,,
TivB5,virB5,TraE,TrbF,TrwJ,,,,
TivB6,virB6,TrbL,TrwI,,,,,
TivB7,virB7,TraV,TrbH,pRA3.23,TrwH,,,
TivB8,virB8,TrbJ,TrwG,,,,,
TivB9,virB9,TraK,TrbG,TrwF,,,,
TivB10,virB10,TrbI,TrwE,,,,,
TivB11,virB11,TrbB,TrwD,,,,,
Pep,TrhF,TraF,,,,,,
MpfPL-O,TrbL,TrbM,TrbN,TrwL,TrwN,,,
TivFA,TraA,,,,,,,
Nac,TraX,TrbP,,,,,,
TivFF,TraF,,,,,,,
TivFG,TraG,,,,,,,
TivFH,TraH,,,,,,,
TivFI,TrbI,,,,,,,
TivFN,TraN,,,,,,,
TivFU,TraU,,,,,,,
TivFW,TraW,,,,,,,
TivFC,TrbC,,,,,,,
DsbC,TrbB,,,,,,,
