"Sfx","Eex","Rep","Ori","Ssb","ParA","ParB","ParC","Rlx","Nic","Dtr","Pri","Cpl","TivFA","Nac","TivFF","TivFG","TivFH","TivFI","TivFN","TivFU","TivFW","TivFC","DsbC","MpfPL-O","Slt","TivB2","TivB3","TivB4","TivB5","TivB6","TivB7","TivB8","TivB9","TivB10","TivB11","Pep"
"pBT1850054",15,5,15,3,0,3,5,1,23,42,9,17,15,49,10,2,2,11,5,2,10,7,9,7,0,2,1,5,6,1,5,6,1,3,2,4,3
"pBc53",12,3,4,2,2,2,2,0,23,13,5,17,10,28,6,0,0,5,5,2,3,0,8,4,0,0,1,2,2,1,5,9,1,5,2,1,0
"pLokhon01",1,0,1,0,0,0,0,0,2,1,1,2,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1,1
"pCTU3",1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pCMA2",0,0,0,0,0,0,1,0,16,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSK29544",4,0,2,1,1,0,0,0,0,2,0,2,1,2,1,0,0,1,0,0,1,2,2,1,0,0,1,1,1,0,1,1,0,0,1,0,0
"p2",0,0,0,1,1,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,1,2,2,1,0,0,1,1,1,0,0,0,0,0,0,0,1
"pMETAL01",0,0,0,0,0,0,1,0,17,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pLRI01",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pLF01",6,0,1,1,0,0,1,0,14,7,3,0,11,26,3,0,0,1,3,0,1,4,1,1,0,0,2,0,1,0,0,0,0,3,0,0,0
"pNL1",1,0,0,0,0,0,0,0,2,3,0,0,2,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"p1",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
