Rep,67275,plasmidpartitioningproteinParA,Inc?,pMaD8,436,85.3
Rep,67275,"RepApartitioningprotein/ATPase,ParAtype",Inc?,C,435,99.5
Rep,67275,hypotheticalprotein,Inc?,pRSPA03,350,97.7
Rep,67275,hypotheticalprotein,Inc?,pWS8N,350,100.0
Rep,67275,chromosomepartitioningproteinParA,Inc?,unnamed,214,98.6
Rep,95874,Replication-associatedproteinRepB2,Inc?,:,279,*
Rep,95874,hypotheticalprotein,Inc?,pKLC2,279,100.0
Rep,95874,Replication-associatedprotein,Inc?,pLCK1,279,100.0
Rep,95874,hypotheticalprotein,Inc?,LkipL4726,279,100.0
Rep,70364,plasmidreplicationinitiator,Inc?,pGXY020,314,*
Rep,70364,RepAreplicationprotein,Inc?,:,301,99.7
Rep,44289,replicationprotein,Inc?,pT-OXA-181,305,100.0
Rep,44289,ReplicationproteinRepA,Inc?,pNDM15-1091,288,*
Rep,74067,plasmidpartitioningproteinRepBa2,Inc?,p42a,222,*
Rep,6722,PutativeRepA,Inc?,pPHDP70,373,*
Rep,6722,hypotheticalprotein,Inc?,pVPH1,361,94.7
Rep,6722,hypotheticalprotein,Inc?,pVPH2,359,98.6
Rep,6722,hypotheticalprotein,Inc?,pAQU2,234,100.0
Rep,42874,plasmidpartitioningproteinRepB,Inc?,pGal,322,*
Rep,29215,replicationprotein,Inc?,pCTXM15,150,85.5
Rep,29215,replicationprotein,Inc?,pI1-34TF,150,85.5
Rep,29215,replicationregulatoryproteinrepA2(copB),Inc?,pETN48,85,98.8
Rep,29215,replicationregulatoryproteinrepB,Inc?,pHUSEC41-2,85,100.0
Rep,29215,putativereplicationregulatoryproteinrepA2(ProteincopB),Inc?,55989p,85,100.0
Rep,29215,replicationproteinRepA,Inc?,p6409-151.583kb,85,98.8
Rep,29215,ReplicationregulatoryproteinrepA2(ProteincopB),Inc?,pH1519-76,85,100.0
Rep,29215,probableReplicationregulatoryproteinRepA2,Inc?,pO111,85,100.0
Rep,29215,replicationproteinRepA,Inc?,pSF-468-1,85,100.0
Rep,29215,RepA2,incf,pIP1206,85,98.8
